Date,Internet,Semiconductor,Hardware,Software
3/10/2011,1.02,1.14,1.03,0.93
3/11/2011,1.02,1.14,1.03,0.93
3/14/2011,1.02,1.14,1.03,0.93
3/15/2011,1.02,1.13,1.03,0.93
3/16/2011,1.01,1.13,1.04,0.93
3/17/2011,1.01,1.13,1.04,0.93
3/18/2011,1.01,1.13,1.04,0.93
3/21/2011,1.01,1.12,1.04,0.94
3/22/2011,1.02,1.12,1.04,0.94
3/23/2011,1.02,1.12,1.04,0.94
3/24/2011,1.02,1.12,1.04,0.94
3/25/2011,1.02,1.12,1.04,0.94
3/28/2011,1.02,1.12,1.04,0.94
3/29/2011,1.02,1.12,1.04,0.94
3/30/2011,1.03,1.12,1.04,0.94
3/31/2011,1.02,1.12,1.04,0.94
4/1/2011,1.03,1.12,1.04,0.94
4/4/2011,1.02,1.12,1.04,0.94
4/5/2011,1.02,1.12,1.04,0.94
4/6/2011,1.02,1.12,1.04,0.94
4/7/2011,1.03,1.12,1.04,0.94
4/8/2011,1.03,1.12,1.04,0.94
4/11/2011,1.02,1.12,1.04,0.94
4/12/2011,1.03,1.11,1.04,0.94
4/13/2011,1.03,1.11,1.04,0.94
4/14/2011,1.01,1.11,1.05,0.94
4/15/2011,1.02,1.11,1.05,0.94
4/18/2011,1.02,1.11,1.05,0.94
4/19/2011,1.02,1.11,1.05,0.94
4/20/2011,1.01,1.13,1.04,0.94
4/21/2011,1.01,1.13,1.04,0.94
4/25/2011,1.01,1.13,1.04,0.94
4/26/2011,1.01,1.13,1.04,0.95
4/27/2011,1.01,1.13,1.04,0.95
4/28/2011,1.01,1.13,1.04,0.95
4/29/2011,1.02,1.12,1.04,0.95
5/2/2011,1.02,1.12,1.04,0.95
5/3/2011,1.01,1.12,1.04,0.95
5/4/2011,1.01,1.11,1.04,0.95
5/5/2011,1.02,1.12,1.03,0.95
5/6/2011,1.02,1.13,1.02,0.95
5/9/2011,1.01,1.13,1.01,0.97
5/10/2011,1.01,1.13,1.01,0.97
5/11/2011,1.03,1.12,1.01,0.97
5/12/2011,1.04,1.12,1,0.97
5/13/2011,1.05,1.11,1.01,0.97
5/16/2011,1.06,1.11,1.01,0.98
5/17/2011,1.05,1.1,1.01,0.98
5/18/2011,1.05,1.11,1.01,0.98
5/19/2011,1.05,1.12,1.01,0.97
5/20/2011,1.05,1.12,1.01,0.98
5/23/2011,1.05,1.12,1.01,0.98
5/24/2011,1.05,1.12,1.01,0.98
5/25/2011,1.06,1.12,1.01,0.97
5/26/2011,1.07,1.11,1.01,0.97
5/27/2011,1.06,1.11,1.01,0.97
5/31/2011,1.06,1.1,1.02,0.97
6/1/2011,1.06,1.11,1.01,0.98
6/2/2011,1.05,1.11,1.01,0.97
6/3/2011,1.07,1.1,1.01,0.97
6/6/2011,1.07,1.09,1.01,0.96
6/7/2011,1.07,1.09,1.02,0.96
6/8/2011,1.07,1.09,1.01,0.96
6/9/2011,1.07,1.09,1.01,0.97
6/10/2011,1.07,1.09,1.01,0.96
6/13/2011,1.07,1.09,1.01,0.96
6/14/2011,1.07,1.08,1.01,0.96
6/15/2011,1.06,1.08,1.01,0.96
6/16/2011,1.07,1.08,1.01,0.96
6/17/2011,1.07,1.08,1.01,0.96
6/20/2011,1.06,1.08,1.01,0.96
6/21/2011,1.06,1.08,1.01,0.96
6/22/2011,1.07,1.08,1.01,0.96
6/23/2011,1.06,1.08,1.02,0.96
6/24/2011,1.06,1.08,1.02,0.96
6/27/2011,1.06,1.08,1.02,0.97
6/28/2011,1.06,1.08,1.01,0.97
6/29/2011,1.06,1.08,1.01,0.97
6/30/2011,1.06,1.09,1.01,0.97
7/1/2011,1.07,1.09,1.01,0.96
7/5/2011,1.07,1.09,1.01,0.96
7/6/2011,1.08,1.08,1,0.97
7/7/2011,1.08,1.09,1,0.97
7/8/2011,1.08,1.09,1,0.97
7/11/2011,1.07,1.08,1,0.97
7/12/2011,1.06,1.09,1.01,0.97
7/13/2011,1.06,1.09,1.01,0.97
7/14/2011,1.06,1.09,1.01,0.97
7/15/2011,1.08,1.09,1.02,0.97
7/18/2011,1.07,1.08,1.02,0.97
7/19/2011,1.06,1.09,1.01,0.98
7/20/2011,1.06,1.09,1.01,0.98
7/21/2011,1.07,1.09,1.02,0.98
7/22/2011,1.07,1.09,1.02,0.98
7/25/2011,1.07,1.09,1.02,0.98
7/26/2011,1.07,1.09,1.02,0.98
7/27/2011,1.07,1.09,1.02,0.98
7/28/2011,1.07,1.08,1.01,0.98
7/29/2011,1.07,1.08,1.01,0.98
8/1/2011,1.08,1.08,1.01,0.98
8/2/2011,1.08,1.08,1.01,0.98
8/3/2011,1.08,1.08,1.01,0.98
8/4/2011,1.08,1.08,1.01,0.98
8/5/2011,1.08,1.08,1.01,0.98
8/8/2011,1.07,1.04,1.01,0.99
8/9/2011,1.1,1.01,1.01,1
8/10/2011,1.1,1,1,1.02
8/11/2011,1.09,1,0.99,1.02
8/12/2011,1.09,1,0.99,1.02
8/15/2011,1.08,1,0.99,1.02
8/16/2011,1.08,1,0.99,1.02
8/17/2011,1.08,1,0.99,1.02
8/18/2011,1.08,0.99,0.98,1.02
8/19/2011,1.08,0.99,1,1.01
8/22/2011,1.08,0.99,1,1.01
8/23/2011,1.08,0.99,0.99,1.01
8/24/2011,1.08,0.98,0.99,1.01
8/25/2011,1.08,0.99,0.99,1.02
8/26/2011,1.07,0.98,0.99,1.02
8/29/2011,1.07,0.98,1,1.02
8/30/2011,1.07,0.98,1,1.02
8/31/2011,1.07,0.98,0.99,1.02
9/1/2011,1.08,0.98,0.99,1.03
9/2/2011,1.07,0.98,0.99,1.03
9/6/2011,1.07,0.98,0.99,1.03
9/7/2011,1.07,0.98,0.98,1.03
9/8/2011,1.07,0.98,0.98,1.03
9/9/2011,1.07,0.97,0.98,1.03
9/12/2011,1.08,0.97,0.99,1.03
9/13/2011,1.07,0.97,0.98,1.03
9/14/2011,1.07,0.98,0.98,1.03
9/15/2011,1.07,0.97,0.98,1.03
9/16/2011,1.08,0.98,0.98,1.03
9/19/2011,1.07,0.98,0.98,1.03
9/20/2011,1.07,0.98,0.98,1.03
9/21/2011,1.07,0.98,0.98,1.03
9/22/2011,1.07,0.98,0.98,1.03
9/23/2011,1.07,0.97,0.98,1.04
9/26/2011,1.07,0.97,0.97,1.04
9/27/2011,1.07,0.97,0.97,1.04
9/28/2011,1.07,0.97,0.97,1.04
9/29/2011,1.07,0.97,0.97,1.04
9/30/2011,1.07,0.98,0.97,1.04
10/3/2011,1.07,0.98,0.97,1.04
10/4/2011,1.07,0.99,0.96,1.05
10/5/2011,1.07,1,0.96,1.04
10/6/2011,1.07,0.99,0.95,1.04
10/7/2011,1.07,0.99,0.95,1.05
10/10/2011,1.08,0.99,0.96,1.04
10/11/2011,1.08,0.99,0.96,1.04
10/12/2011,1.08,0.99,0.96,1.04
10/13/2011,1.08,0.99,0.96,1.04
10/14/2011,1.06,0.99,0.96,1.04
10/17/2011,1.06,0.99,0.96,1.04
10/18/2011,1.06,1,0.96,1.04
10/19/2011,1.05,0.99,0.97,1.03
10/20/2011,1.05,0.99,0.98,1.03
10/21/2011,1.05,0.99,0.97,1.03
10/24/2011,1.05,0.99,0.98,1.03
10/25/2011,1.05,0.99,0.98,1.03
10/26/2011,1.05,0.99,0.98,1.03
10/27/2011,1.05,0.99,0.97,1.03
10/28/2011,1.05,0.99,0.97,1.03
10/31/2011,1.05,0.99,0.97,1.03
11/1/2011,1.05,1,0.97,1.03
11/2/2011,1.05,0.99,0.97,1.03
11/3/2011,1.05,0.99,0.96,1.03
11/4/2011,1.05,0.99,0.96,1.03
11/7/2011,1.05,0.99,0.96,1.03
11/8/2011,1.05,0.99,0.96,1.03
11/9/2011,1.04,0.99,0.96,1.04
11/10/2011,1.05,1,0.96,1.04
11/11/2011,1.05,1.01,0.96,1.04
11/14/2011,1.04,1.01,0.96,1.04
11/15/2011,1.04,1.01,0.96,1.04
11/16/2011,1.04,1.01,0.96,1.05
11/17/2011,1.04,1.02,0.96,1.05
11/18/2011,1.04,1.02,0.96,1.05
11/21/2011,1.04,1.02,0.95,1.05
11/22/2011,1.04,1.02,0.96,1.05
11/23/2011,1.03,1.02,0.96,1.05
11/25/2011,1.03,1.02,0.96,1.05
11/28/2011,1.04,1.02,0.96,1.04
11/29/2011,1.03,1.02,0.96,1.05
11/30/2011,1.03,1.03,0.96,1.05
12/1/2011,1.03,1.03,0.96,1.04
12/2/2011,1.03,1.03,0.96,1.04
12/5/2011,1.03,1.03,0.96,1.04
12/6/2011,1.03,1.03,0.96,1.05
12/7/2011,1.03,1.03,0.96,1.04
12/8/2011,1.03,1.03,0.95,1.05
12/9/2011,1.03,1.03,0.95,1.05
12/12/2011,1.03,1.04,0.95,1.05
12/13/2011,1.02,1.04,0.95,1.04
12/14/2011,1.02,1.04,0.95,1.05
12/15/2011,1.02,1.04,0.95,1.05
12/16/2011,1.02,1.04,0.95,1.05
12/19/2011,1.02,1.04,0.95,1.05
12/20/2011,1.02,1.04,0.95,1.04
12/21/2011,1.01,1.04,0.95,1.05
12/22/2011,1.01,1.04,0.95,1.05
12/23/2011,1.01,1.04,0.95,1.05
12/27/2011,1.01,1.04,0.95,1.05
12/28/2011,1.01,1.04,0.95,1.05
12/29/2011,1.01,1.04,0.95,1.05
12/30/2011,1.01,1.04,0.95,1.05
1/3/2012,1.01,1.04,0.95,1.05
1/4/2012,1.01,1.04,0.95,1.05
1/5/2012,1.01,1.05,0.95,1.05
1/6/2012,1.01,1.05,0.95,1.05
1/9/2012,1.01,1.05,0.95,1.05
1/10/2012,1.01,1.05,0.95,1.05
1/11/2012,1.01,1.05,0.95,1.05
1/12/2012,1.01,1.04,0.95,1.05
1/13/2012,1.01,1.05,0.95,1.05
1/17/2012,1.01,1.04,0.95,1.05
1/18/2012,1.01,1.05,0.95,1.05
1/19/2012,1.01,1.05,0.95,1.05
1/20/2012,1.01,1.05,0.95,1.05
1/23/2012,1,1.05,0.95,1.05
1/24/2012,1.01,1.05,0.94,1.05
1/25/2012,1,1.05,0.95,1.05
1/26/2012,1,1.05,0.95,1.05
1/27/2012,1,1.05,0.95,1.05
1/30/2012,1,1.05,0.95,1.05
1/31/2012,1,1.05,0.95,1.05
2/1/2012,1,1.05,0.95,1.05
2/2/2012,1,1.05,0.95,1.05
2/3/2012,1,1.05,0.95,1.05
2/6/2012,1,1.05,0.95,1.05
2/7/2012,1,1.05,0.95,1.05
2/8/2012,1,1.05,0.95,1.05
2/9/2012,1,1.05,0.95,1.05
2/10/2012,1,1.05,0.95,1.05
2/13/2012,1,1.05,0.95,1.05
2/14/2012,1,1.05,0.95,1.05
2/15/2012,1,1.05,0.95,1.05
2/16/2012,1,1.05,0.95,1.06
2/17/2012,1,1.05,0.95,1.06
2/21/2012,1,1.05,0.95,1.06
2/22/2012,1,1.05,0.95,1.06
2/23/2012,1,1.05,0.95,1.06
2/24/2012,1,1.04,0.95,1.06
2/27/2012,1,1.04,0.95,1.06
2/28/2012,1,1.04,0.95,1.06
2/29/2012,1,1.05,0.95,1.06
3/1/2012,1,1.04,0.95,1.06
3/2/2012,1,1.04,0.95,1.06
3/5/2012,1,1.05,0.95,1.06
3/6/2012,1,1.04,0.95,1.06
3/7/2012,1,1.04,0.95,1.06
3/8/2012,1,1.04,0.96,1.06
3/9/2012,1,1.04,0.96,1.06
3/12/2012,1,1.04,0.96,1.06
3/13/2012,1,1.04,0.96,1.06
3/14/2012,1.01,1.04,0.96,1.06
3/15/2012,1.01,1.04,0.95,1.06
3/16/2012,1.01,1.04,0.95,1.06
3/19/2012,1.01,1.04,0.95,1.06
3/20/2012,1.01,1.04,0.95,1.06
3/21/2012,1.01,1.04,0.95,1.06
3/22/2012,1.01,1.04,0.95,1.06
3/23/2012,1.01,1.04,0.95,1.06
3/26/2012,1.01,1.04,0.95,1.06
3/27/2012,1.01,1.04,0.95,1.06
3/28/2012,1,1.04,0.95,1.06
3/29/2012,1,1.04,0.95,1.06
3/30/2012,1.01,1.04,0.95,1.06
4/2/2012,1,1.04,0.96,1.06
4/3/2012,1.01,1.04,0.95,1.06
4/4/2012,1,1.04,0.95,1.06
4/5/2012,1,1.04,0.96,1.06
4/9/2012,1,1.04,0.95,1.06
4/10/2012,1,1.04,0.95,1.06
4/11/2012,1,1.04,0.95,1.06
4/12/2012,1,1.04,0.95,1.06
4/13/2012,1.01,1.04,0.95,1.06
4/16/2012,1.01,1.04,0.96,1.05
4/17/2012,1,1.03,0.97,1.05
4/18/2012,1,1.03,0.97,1.05
4/19/2012,0.99,1.03,0.97,1.05
4/20/2012,1,1.02,0.97,1.05
4/23/2012,1,1.02,0.97,1.05
4/24/2012,1,1.02,0.97,1.05
4/25/2012,0.99,1.01,1,1.04
4/26/2012,0.99,1.02,1,1.04
4/27/2012,0.99,1.02,1,1.04
4/30/2012,0.99,1.01,1,1.03
5/1/2012,0.99,1.01,1,1.03
5/2/2012,0.99,1.01,1,1.03
5/3/2012,0.99,1.02,1,1.03
5/4/2012,0.99,1.02,1,1.03
5/7/2012,0.98,1.02,1,1.04
5/8/2012,0.98,1.02,1,1.04
5/9/2012,0.98,1.02,1,1.04
5/10/2012,0.98,1.02,1,1.04
5/11/2012,0.98,1.02,1,1.03
5/14/2012,0.98,1.02,1,1.03
5/15/2012,0.97,1.02,1,1.03
5/16/2012,0.97,1.02,1,1.03
5/17/2012,0.97,1.02,1,1.03
5/18/2012,0.97,1.02,1,1.03
5/21/2012,0.97,1.01,1.01,1.03
5/22/2012,0.97,1.01,1.01,1.03
5/23/2012,0.97,1.01,1.01,1.03
5/24/2012,0.97,1.01,1.01,1.03
5/25/2012,0.97,1.01,1.01,1.03
5/29/2012,0.97,1.01,1.01,1.03
5/30/2012,0.97,1.01,1.01,1.03
5/31/2012,0.98,1.01,1.01,1.02
6/1/2012,0.97,1.01,1.02,1.02
6/4/2012,0.97,1.01,1.02,1.02
6/5/2012,0.97,1.01,1.01,1.02
6/6/2012,0.97,1.01,1.01,1.03
6/7/2012,0.97,1.01,1.01,1.03
6/8/2012,0.97,1.01,1.01,1.03
6/11/2012,0.97,1.01,1.01,1.03
6/12/2012,0.97,1.02,1.01,1.03
