Date,Time,Day,Hour,Subject,Text
2018-09-05 12:00:30,12:00:30,Weds,12,Application Update for Investment Banking Experienced Analyst - Healthcare at William Blair,"Hi Andre,

 Thank you for your patience as we reviewed your status for the Investment =
Banking Experienced Analyst - Healthcare opportunity at William Blair. Whil=
e we appreciate your interest in our company, we have decided to move forwa=
rd with other candidates who more closely match our needs at this time.=20

 Please continue to visit our career page at [1] http://williamblair.avatur=
e.net/careers to view our current job postings. If you find an open positio=
n that you are interested in and qualified for, please apply online for tha=
t opportunity.=20

 Thank you again for your interest in William Blair, and we wish you the be=
st in your job search.

 Regards,

William Blair Recruiting

References

	Visible links
	1. http://williamblair.avature.net/mailRedir.php?u=3D1&code=3D9Hef0QM__ZwI=
27yzFHX2E4jrFWqv7rn7&link=3D1&transformedUrl=3D849740a5e08e0d1e952e981a7fa3=
b2d8b7e95f48dc9183427a953c1dc3860200
"
2018-09-10 12:45:16,12:45:16,Mon,12,"Your application for Banking Analyst 1st Year - Class of 2019 at
 GCA Advisors","<html><head>
<meta http-equiv=Content-Type content=""text/html; charset=utf-8"">
<style>
.bodyblack { font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 12px; }
td { font-size: 12px; }
.footer { font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 10px; }
</style>
</head>
<body><table cellSpacing=""0"" cellPadding=""0"" width=""450"" border=""0"" class=""bodyblack""><tr><td>
<p>Dear Andre,<br /><br />Thank you for giving us the opportunity to consider you for employment. We have reviewed your background and qualifications and find that we do not have an appropriate position for you at this time. We appreciate your interest in GCA Advisors and wish you success in your job search.<br /><br />Sincerely,<br /><br />The GCA Advisors Talent Acquisition Team<br /><br />You can change your email preferences at:<br /><a href=""https://app.jobvite.com/l?kshIbKgwF"">https://app.jobvite.com/l?kshIbKgwF</a></p></td></tr>
</table></body></html>"
2018-09-10 13:36:06,13:36:06,Mon,13,"Application closed - 3DK6B - Investment Banking Analyst with M&T
 Bank","<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01//EN"" ""http://www.w3.org/TR/html4/strict.dtd"">
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""/><title></title>
</head>
<body style='font-family: Arial, Times New Roman, Verdana, Sans-Serif; padding: 5px 5px 5px 5px; margin: 0px; border-style: none; background-color: #ffffff'>
<div><div><img src= ""https://mtb.taleo.net/smartorg/CorrespondenceLogo.jss?logo=company_logo_01&instant=1536600964961""> </img></div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>
<div>September 10, 2018</div>
</div>
<p style=""margin-top: 0px; margin-bottom: 0px;"">&nbsp;</p>
<p style=""margin-top: 0px; margin-bottom: 0px;"">&nbsp;</p>
<div>Dear&nbsp; Andre,&nbsp;&nbsp;</div>
<div>&nbsp;</div>
<div>Thank you for your interest in the 3DK6B -&nbsp;Investment Banking Analyst position with M&amp;T Bank.&nbsp;</div>
<div>&nbsp;</div>
<div>We received many applications for this position and have identified other candidates to move forward in the interview process.&nbsp;</div>
<div>&nbsp;</div>
<div>We appreciate your interest in a career with M&amp;T and encourage you to apply for other positions matching your career goals and qualifications. Please visit www.mtb.com/careers to view a list of current openings and to apply.&nbsp;</div>
<div>&nbsp;</div>
<div>Sincerely,</div>
<div>&nbsp;</div>
<div>M&amp;T Bank Human Resources</div>
<p style=""margin-top: 0px; margin-bottom: 0px;"">&nbsp;</p>
<p style=""margin-top: 0px; margin-bottom: 0px;""><em>Please do not respond to this email as it is automatically generated. Thank you.</em></p></div></body>
</html>
"
2018-10-01 21:29:43,21:29:43,Mon,21,GCA Analyst Opportunity,"Hi Andre,

I hope this email finds you well. Thank you for taking the time to intervie=
w with GCA. We have received feedback from the team, and we have decided to=
 move forward with other candidates at this time. Best of luck in the rest =
of your search.

Best,


Tammi Young
HR
GCA Advisors, LLC
One Maritime Plaza, 25th FL | San Francisco, CA 94111 | www.gcaglobal.com<h=
ttp://www.gcaglobal.com/>
+1-415-318-3646 O |  tyoung@gcaglobal.com <mailto:tyoung@gcaglobal.com>
"
2018-10-03 12:49:40,12:49:40,Weds,12,"Thank you for your interest in the Investment Banking Analyst,
 Diversified Industries, NYC 30190BR position","QW5kcmUsDQoNClRoYW5rIHlvdSBmb3IgeW91ciBpbnRlcmVzdCBpbiB0aGUgSW52ZXN0
bWVudCBCYW5raW5nIEFuYWx5c3QsIERpdmVyc2lmaWVkIEluZHVzdHJpZXMsIE5ZQyBw
b3NpdGlvbiwgcmVxdWlzaXRpb24gIyAzMDE5MEJSLiAgV2UgYXBwcmVjaWF0ZSB0aGUg
b3Bwb3J0dW5pdHkgdG8gY29uc2lkZXIgeW91IGZvciB0aGlzIHJvbGUuDQoNCldlIGhh
dmUgcmV2aWV3ZWQgeW91ciBxdWFsaWZpY2F0aW9ucyBhbmQgZGV0ZXJtaW5lZCB0aGF0
LCB3aGlsZSB5b3VyIGV4cGVyaWVuY2VzIGFuZCBhY2NvbXBsaXNobWVudHMgYXJlIGlt
cHJlc3NpdmUsIHRoZXJlIGFyZSBvdGhlciBjYW5kaWRhdGVzIHdobyBtb3JlIGNsb3Nl
bHkgbWF0Y2ggdGhlIHNwZWNpZmljIG5lZWRzIG9mIHRoaXMgcG9zaXRpb24uDQoNCllv
dXIgYXBwbGljYXRpb24gYW5kIGluZm9ybWF0aW9uIGlzIG5vdyBvbiBmaWxlIHdpdGgg
VGFsZW50IEFjcXVpc2l0aW9uOyBob3dldmVyLCB3ZSBob3BlIHRoYXQgeW91IHdpbGwg
YXBwbHkgdG8gb3RoZXIgcm9sZXMgYXQgS2V5QmFuayBpbiB0aGUgZnV0dXJlIGlmIHRo
ZXkgYXBwZWFyIHRvIG1hdGNoIHlvdXIgaW50ZXJlc3RzIGFuZCBxdWFsaWZpY2F0aW9u
cy4NCg0KWW91IG1heSBhY2Nlc3MgeW91ciBhY2NvdW50IGF0IGFueSB0aW1lIGluIG9y
ZGVyIHRvIHVwZGF0ZSBvciBjb3JyZWN0IGFueSBpbmZvcm1hdGlvbi4gWW91IG1heSBh
bHNvIHNpZ24gdXAgZm9yIGVtYWlsIGFsZXJ0cyBqb2luaW5nIG91ciBUYWxlbnQgTmV0
d29yayBhdCBodHRwOi8vY2FyZWVycy5rZXkuY29tL2pvaW4uDQoNCktpbmQgcmVnYXJk
cywNCg0KQ2FseW4gSGVuZGVyc29uDQpLZXlCYW5rIFRhbGVudCBBY3F1aXNpdGlvbg0K
DQo="
2018-10-03 14:00:41,14:00:41,Weds,14,"Thank you for your interest in the Investment Banking Analyst,
 Healthcare, New York City 28898BR position","QW5kcmUsDQoNClRoYW5rIHlvdSBmb3IgeW91ciBpbnRlcmVzdCBpbiB0aGUgSW52ZXN0
bWVudCBCYW5raW5nIEFuYWx5c3QsIEhlYWx0aGNhcmUsIE5ldyBZb3JrIENpdHkgcG9z
aXRpb24sIHJlcXVpc2l0aW9uICMgMjg4OThCUi4gIFdlIGFwcHJlY2lhdGUgdGhlIG9w
cG9ydHVuaXR5IHRvIGNvbnNpZGVyIHlvdSBmb3IgdGhpcyByb2xlLg0KDQpXZSBoYXZl
IHJldmlld2VkIHlvdXIgcXVhbGlmaWNhdGlvbnMgYW5kIGRldGVybWluZWQgdGhhdCwg
d2hpbGUgeW91ciBleHBlcmllbmNlcyBhbmQgYWNjb21wbGlzaG1lbnRzIGFyZSBpbXBy
ZXNzaXZlLCB0aGVyZSBhcmUgb3RoZXIgY2FuZGlkYXRlcyB3aG8gbW9yZSBjbG9zZWx5
IG1hdGNoIHRoZSBzcGVjaWZpYyBuZWVkcyBvZiB0aGlzIHBvc2l0aW9uLg0KDQpZb3Vy
IGFwcGxpY2F0aW9uIGFuZCBpbmZvcm1hdGlvbiBpcyBub3cgb24gZmlsZSB3aXRoIFRh
bGVudCBBY3F1aXNpdGlvbjsgaG93ZXZlciwgd2UgaG9wZSB0aGF0IHlvdSB3aWxsIGFw
cGx5IHRvIG90aGVyIHJvbGVzIGF0IEtleUJhbmsgaW4gdGhlIGZ1dHVyZSBpZiB0aGV5
IGFwcGVhciB0byBtYXRjaCB5b3VyIGludGVyZXN0cyBhbmQgcXVhbGlmaWNhdGlvbnMu
DQoNCllvdSBtYXkgYWNjZXNzIHlvdXIgYWNjb3VudCBhdCBhbnkgdGltZSBpbiBvcmRl
ciB0byB1cGRhdGUgb3IgY29ycmVjdCBhbnkgaW5mb3JtYXRpb24uIFlvdSBtYXkgYWxz
byBzaWduIHVwIGZvciBlbWFpbCBhbGVydHMgam9pbmluZyBvdXIgVGFsZW50IE5ldHdv
cmsgYXQgaHR0cDovL2NhcmVlcnMua2V5LmNvbS9qb2luLg0KDQpLaW5kIHJlZ2FyZHMs
DQoNCkNhbHluIEhlbmRlcnNvbg0KS2V5QmFuayBUYWxlbnQgQWNxdWlzaXRpb24NCg0K"
2018-10-18 10:00:46,10:00:46,Thur,10,b'Thank you for your application on TD Opportunities - Investment Banking Credit \xe2\x80\x93 Analyst - Associate',"RGVhciBBbmRyZSwNCiANClRoYW5rIHlvdSBmb3IgeW91ciBpbnRlcmVzdCBpbiB0aGUg
cG9zaXRpb24gb2YgSW52ZXN0bWVudCBCYW5raW5nIENyZWRpdCDigJMgQW5hbHlzdCAt
IEFzc29jaWF0ZSAtIDE5MTE3NkJSLiBBZnRlciBjYXJlZnVsIHJldmlldyBvZiB5b3Vy
IGFwcGxpY2F0aW9uIGFuZCB0aGUgcmVxdWlyZW1lbnRzIG9mIHRoZSByb2xlLCB3ZSB3
aXNoIHRvIGFkdmlzZSB5b3UgdGhhdCB3ZSBhcmUgcHVyc3Vpbmcgb3RoZXIgY2FuZGlk
YXRlcyBmb3IgdGhpcyBvcHBvcnR1bml0eS4gIFdlIHdpbGwgcmV0YWluIHlvdXIgcHJv
ZmlsZSBmb3IgZnV0dXJlIGNvbnNpZGVyYXRpb24uIA0KIA0KV2UgdGhhbmsgeW91IGZv
ciB0YWtpbmcgdGltZSB0byBleHBsb3JlIGEgY2FyZWVyIHdpdGggdXMgYW5kIHlvdXIg
aW50ZXJlc3QgaW4gb3VyIG9yZ2FuaXphdGlvbi4NCiANCktpbmQgcmVnYXJkcywNClRE
DQo="
2018-10-23 09:49:16,09:49:16,Tues,9,Thank you for your interest in PNC,"RGVhciBBbmRyZSwNCg0KVGhhbmsgeW91IGZvciB5b3VyIGludGVyZXN0IGluIDI5Njg5
NEJSIC0gRGV2ZWxvcG1lbnQgUHJvZ3JhbSBBbmFseXN0IC0gSW52ZXN0bWVudCBCYW5r
aW5nIEFuYWx5c3QgKEYpIGF0IFBOQyBhbmQgZm9yIHRoZSB0aW1lIHlvdSB0b29rIHRv
IHN1Ym1pdCB5b3VyIGludGVyZXN0IGluIHRoaXMgcG9zaXRpb24uICBXZSBjYXJlZnVs
bHkgcmV2aWV3IGh1bmRyZWRzIG9mIHJlc3VtZXMgZGFpbHksIGFuZCB3aGlsZSB5b3Vy
IHNraWxscyBhbmQgYWNjb21wbGlzaG1lbnRzIGNhdWdodCBvdXIgZXllLCB3ZSBoYXZl
IGRlY2lkZWQgdG8gcHVyc3VlIG90aGVyIGNhbmRpZGF0ZXMuICANCiANCkhvd2V2ZXIs
IHRoaXMgaXNu4oCZdCBnb29kYnllISAgSnVzdCBhcyB3ZSB2YWx1ZSBvdXIgY3VzdG9t
ZXJzLCB3ZSBhbHNvIHZhbHVlIHlvdSBhbmQgYXBwcmVjaWF0ZSB0aGF0IHlvdSBjb25z
aWRlcmVkIFBOQyBkdXJpbmcgeW91ciBqb2Igc2VhcmNoLiAgV2UgaW52aXRlIHlvdSB0
byBrZWVwIGNoZWNraW5nIG91ciBjYXJlZXJzIHdlYnNpdGUsIGFzIG5ldyBvcHBvcnR1
bml0aWVzIGFyZSBhZGRlZCBkYWlseS4gDQoNCldlIHdpc2ggeW91IG11Y2ggc3VjY2Vz
cyBhcyB5b3UgY29udGludWUgeW91ciBqb2Igc2VhcmNoLiANCg0KQmVzdCB3aXNoZXMs
DQoNClBOQyBUYWxlbnQgQWNxdWlzaXRpb24gVGVhbQ0KDQpWaXNpdCB3d3cucG5jLmpv
YnMgZm9yIGhlbHBmdWwgdGlwcyBhbmQgaW5zaWdodCBpbnRvIGZpbmRpbmcgYSBuZXcg
cG9zaXRpb24uDQo="
2018-10-23 14:11:43,14:11:43,Tues,14,Your application at UBS ,"RGVhciBBbmRyZSxUaGFua3MgZm9yIHlvdXIgYXBwbGljYXRpb24gZm9yIHRoZSAyMDE5
IEdyYWR1YXRlIFRhbGVudCBQcm9ncmFtIChDQ1MgLSBJbnZlc3RtZW50IEJhbmtpbmcp
IE5ldyBZb3JrICgxNzk5MDdCUikgcG9zaXRpb24uIFdlJ3JlIHNvcnJ5IHRvIHNheSB0
aGF0IHdlIGhhdmUgbm93IGZvdW5kIHNvbWVvbmUgZm9yIHRoaXMgcG9zaXRpb24uDQoN
CldlJ2xsIGtlZXAgeW91ciBwcm9maWxlIGluIG91ciBkYXRhYmFzZS4gQW5kIGlmIHlv
dSdyZSBpbnRlcmVzdGVkLCB3ZSBwdXQgbmV3IGpvYnMgb24gb3VyIGNhcmVlcnMgd2Vi
c2l0ZSAod3d3LnVicy5jb20vY2FyZWVycykgZXZlcnkgZGF5LiBZb3UgY2FuIGFsc28g
c2V0IHVwIGFuIGF1dG9tYXRlZCBzZWFyY2ggYWdlbnQgdGhhdCB3aWxsIG5vdGlmeSB5
b3Ugb2Ygam9icyBtYXRjaGluZyB5b3VyIGNyaXRlcmlhLlRoYW5rcyBmb3IgeW91ciBp
bnRlcmVzdCBpbiB3b3JraW5nIHdpdGggdXMuIFdlIHdpc2ggeW91IHN1Y2Nlc3MgaW4g
eW91ciBmdXR1cmUgam9iIHNlYXJjaC4NCg0KVUJTIFJlY3J1aXRpbmcgVGVhbQ0K"
2018-10-24 11:51:22,11:51:22,Weds,11,b'Evercore Application Update',"RGVhciBBbmRyZSwgCgpUaGFuayB5b3UgdmVyeSBtdWNoIGZvciBhcHBseWlu
ZyB0byB0aGUgMjAxOSBGdWxsLVRpbWUgUHJpdmF0ZSBGdW5kcyBHcm91cCBB
bmFseXN0IC0gTmV3IFlvcmssIE5ZIG9wcG9ydHVuaXR5LiAKCkFmdGVyIHJl
dmlld2luZyB5b3VyIGFwcGxpY2F0aW9uLCB1bmZvcnR1bmF0ZWx5IHdlIHdp
bGwgbm90IGJlIHByb2NlZWRpbmcgd2l0aCB5b3VyIGFwcGxpY2F0aW9uIGF0
IHRoaXMgdGltZS4gV2UgZW5jb3VyYWdlIHlvdSB0byByZXZpZXcgb3VyIGNh
cmVlcnMgc2l0ZSBmb3IgYWRkaXRpb25hbCBvcHBvcnR1bml0aWVzLiAKCldl
IHNpbmNlcmVseSBhcHByZWNpYXRlIHlvdXIgdGltZSBhbmQgaW50ZXJlc3Qg
aW4gRXZlcmNvcmUgYW5kIHdlIHdpc2ggeW91IHRoZSBiZXN0IGluIHRoZSBm
dXR1cmUuIAoKS2luZCByZWdhcmRzLApFdmVyY29yZSBSZWNydWl0aW5n
"
