DATE,AHETPI_PC1,CPILFESL_PC1
2010-09-01,2.19251,0.81439
2010-10-01,2.45464,0.60272
2010-11-01,2.12653,0.67206
2010-12-01,2.01699,0.66189
2011-01-01,2.27634,0.98353
2011-02-01,2.11416,1.12445
2011-03-01,2.06131,1.20979
2011-04-01,2.10970,1.31554
2011-05-01,2.10416,1.45410
2011-06-01,2.04940,1.58368
2011-07-01,2.25722,1.74148
2011-08-01,1.98953,1.96516
2011-09-01,1.98849,1.98772
2011-10-01,1.87500,2.10792
2011-11-01,1.82197,2.13820
2011-12-01,1.76899,2.27666
2012-01-01,1.34576,2.27735
2012-02-01,1.44928,2.15982
2012-03-01,1.76075,2.24834
2012-04-01,1.70455,2.31443
2012-05-01,1.39104,2.25226
2012-06-01,1.54480,2.19229
2012-07-01,1.38604,2.10996
2012-08-01,1.33470,1.93525
2012-09-01,1.53925,2.00824
2012-10-01,1.17587,1.99465
2012-11-01,1.48262,1.95285
2012-12-01,1.68712,1.89969
2013-01-01,1.88968,1.90980
2013-02-01,1.98980,1.98874
2013-03-01,1.88295,1.88902
2013-04-01,1.77755,1.71556
2013-05-01,1.93089,1.64555
2013-06-01,1.97769,1.62310
2013-07-01,2.02532,1.70022
2013-08-01,2.22898,1.78211
2013-09-01,2.12228,1.75194
2013-10-01,2.37494,1.68684
2013-11-01,2.31738,1.74167
2013-12-01,2.26244,1.74086
2014-01-01,2.20551,1.61651
2014-02-01,2.55128,1.54922
2014-03-01,2.29770,1.64437
2014-04-01,2.39521,1.82020
2014-05-01,2.44267,1.95068
2014-06-01,2.33715,1.92115
2014-07-01,2.33251,1.86078
2014-08-01,2.42815,1.73640
2014-09-01,2.32558,1.73711
2014-10-01,2.22113,1.81636
2014-11-01,2.26489,1.72205
2014-12-01,1.91740,1.61733
2015-01-01,2.05983,1.63656
2015-02-01,1.65854,1.67844
2015-03-01,1.95313,1.74413
2015-04-01,1.94932,1.80369
2015-05-01,2.14112,1.72728
2015-06-01,2.08941,1.76847
2015-07-01,1.98836,1.80958
2015-08-01,2.08031,1.83847
2015-09-01,2.03095,1.89675
2015-10-01,2.36601,1.91356
2015-11-01,2.11844,2.02997
2015-12-01,2.50844,2.09457
2016-01-01,2.40269,2.20517
2016-02-01,2.39923,2.31244
2016-03-01,2.53831,2.18277
2016-04-01,2.58126,2.13014
2016-05-01,2.33444,2.22931
2016-06-01,2.42742,2.22981
2016-07-01,2.61531,2.17240
2016-08-01,2.41706,2.31148
2016-09-01,2.55924,2.22354
2016-10-01,2.35849,2.17381
2016-11-01,2.40453,2.14802
2016-12-01,2.49412,2.21023
2017-01-01,2.34632,2.25469
2017-02-01,2.38988,2.19749
2017-03-01,2.24194,1.99184
2017-04-01,2.23672,1.88164
2017-05-01,2.32775,1.74067
2017-06-01,2.32342,1.71923
2017-07-01,2.22428,1.71017
2017-08-01,2.31374,1.69485
2017-09-01,2.58780,1.69953
2017-10-01,2.21198,1.77464
2017-11-01,2.34807,1.71209
2017-12-01,2.43343,1.76083
2018-01-01,2.43008,1.84552
2018-02-01,2.47140,1.85712
2018-03-01,2.60393,2.11077
2018-04-01,2.64357,2.12046
2018-05-01,2.72975,2.21143
2018-06-01,2.72480,2.23092
