Company Name,Industries,Email Convention
RBC Royal Bank of Canada,"Accounting, Corporate Finance, Equity Research, Investment Banking, RBC Royal Bank of Canada",john.smith@rbccm.com
Rothschild,"Investment Banking, rothschild",first.i.last@us.rothschild.com
Sandler ONeill,"Equity Research, Investment Banking, Sales and Trading, Sandler ONeill",jmsith@sanlderoniell.com
RBS Royal Bank of Scotland,"Investment Banking, RBS Royal Bank of Scotland",john.smith@rbs.com
Stephens Inc,"Investment Banking, Private Equity, Sales and Trading, stephens inc",john.smith@stephens.com
TD Securities,"Equity Research, Investment Banking, Sales and Trading, TD Securities",john.smith@tdsecurities.com
Thomas Weisel Partners Stifel Financial,"Asset Management, Investment Banking, Thomas Weisel Partners Stifel Financial",john.smith@stifel.com
William Blair,"Asset Management, Corporate Finance, Investment Banking, Sales and Trading, William Blair",firstlast@williamblair.com
Wedbush,"Asset Management, Equity Research, Investment Banking, Sales and Trading, wedbush",john.smith@wedbush.com
Aethlon Capital,"Aethlon Capital, Investment Banking",Jsmith@aethlon.com
Alexander Hutton,"Alexander Hutton, Investment Banking",jsmith@alexanderhutton.com
Allegiant Capital Corporation,"Allegiant Capital Corporation, Investment Banking",
Allison-Williams,"Allison-Williams, Investment Banking",jdsmith@allisonwilliams.com
Americas Growth Capital,"Americas Growth Capital, Investment Banking",jsmith@americasgc.com
Anderson LeNeave & Co.,"Anderson LeNeave & Co., Corporate Finance, Investment Banking",jsmith@andersonleneave.com
Antaeus Capital,"Antaeus Capital, Investment Banking",
Accent Capital Partners,"Accent Capital Partners, Investment Banking, Private Equity",first@accentcapitalpartners.com
Aquilo Partners,"Aquilo Partners, Investment Banking",
Aramar Capital,"Aramar Capital, Investment Banking, Q&A",
Arbor Advisors,"Arbor Advisors, Investment Banking",john@ArborAdvisors.com
Archway Capital Management,"Archway Capital Management, Consulting, Investment Banking",
Asante Partners,"Asante Partners, Investment Banking",first@asantepartners.com
Ascendiant Capital Group Inc.,"Ascendiant Capital Group Inc., Equity Research, Investment Banking, Sales and Trading",Jsmith@ascendiant.com
Ascent Partners,"Ascent Partners, Investment Banking, Private Equity",jsmith@ascentpartners.com
Aspen Advisors,"Aspen Advisors, Investment Banking",Jsmith@aspenadvisors.com
Averil Capital Markets Group,"Averil Capital Markets Group, Investment Banking",jsmith@averil.com
AZCA,"AZCA, Investment Banking",Jsmith@azacainc.com
Skyway Capital Partners,"Investment Banking, Private Equity, Skyway Capital Partners",jsmith@skywaycapital.com/
Bailey Southwell & Co.,"Bailey Southwell & Co., Investment Banking",john.smith@baileysouthwell.com
"Baldwin & Clarke Corporate Finance, Inc.","Baldwin & Clarke Corporate Finance, Inc., Corporate Finance, Investment Banking",
Barman Capital,"Barman Capital, Investment Banking",
Bengur Bryan & Co.,"Bengur Bryan & Co., Investment Banking",jsmith@bengurbryan.com
Beringea,"Beringea, Investment Banking, Private Equity",jsmith@beringea.com
Berkshire Capital,"berkshire capital, Investment Banking",Jsmith@berkcap.com
Boenning & Scattergood,"Boenning & Scattergood, Equity Research, Investment Banking, Sales and Trading",Jsmith@boenninginc.com
Boston Capital Advisors,"Boston Capital Advisors, Investment Banking",
"Brean Murray, Carret & Co., LLC","Asset Management, Brean Murray, Carret & Co., LLC, Equity Research, Investment Banking, Sales and Trading",john.smith@bmur.com
Broadmark Capital,"Broadmark Capital, Corporate Finance, Investment Banking",jds@broadmark.com
C. K. Cooper & Company,"C. K. Cooper & Company, Equity Research, Investment Banking, Sales and Trading",jdsmith@ckcooper.com
Cain Brothers,"Asset Management, Cain Brothers, Investment Banking",Jsmith@cainbrothers.com
Capital Alliance Corporation,"Capital Alliance Corporation, Investment Banking",john.smith@cadallas.com
The Capital Corporation,"Investment Banking, Private Equity, The Capital Corporation",
Cappello Capital Corp.,"Cappello Capital Corp., Investment Banking",FirstinitialLastinitial@cappellocorp.com
Cary Street Partners,"Cary Street Partners, Investment Banking",Jsmith@carystreetpartners.com
Cascadia Capital LLC,"Cascadia Capital LLC, Corporate Finance, Investment Banking",jsmith@cascadiacapital.com
Caymus Partners LLC,"Caymus Partners LLC, Investment Banking",Jsmith@caymuspartners.com
CBIZ,"CBIZ, Investment Banking",Jsmith@cbiz.com
Challenger Capital Group,"Challenger Capital Group, Investment Banking",Jsmith@challengecap.com
Cherry Tree,"Cherry Tree, Investment Banking",
Clayton Capital Partners,"Clayton Capital Partners, Investment Banking",Jsmith@claytoncapitalpartners.com
Coady Diemar Partners,"Coady Diemar Partners, Investment Banking",firstname@coadydiemar.com
Cogent Partners,"cogent partners, Investment Banking",Jsmith@cogent-partners.com
Colchester Partners,"Colchester Partners, Investment Banking",Jsmith@colchesterpartners.com
The Colmen Group,"Corporate Finance, Investment Banking, The Colmen Group",Jsmith@colmengroup.com
Ascend Partners,"Ascend Partners, Asset Management, Hedge Funds, Investment Banking",jds@ascendpartners.net
Colmen Menard,"Colmen Menard, Corporate Finance, Investment Banking",Jsmith@colmenard.com
Columbia West Capital,"Columbia West Capital, Investment Banking",Jsmith@columbiawestcap.com
Consensus Advisors,"Consensus Advisors, Investment Banking",Jsmith@consensusadvisors.com 
Consilium Partners,"Consilium Partners, Investment Banking",firstinitialmiddleinitiallastinitial@cpboston.com
Converge Capital,"Converge Capital, Investment Banking",Jsmith@convergecapital.com
CDI Global,"CDI Global, Investment Banking",
Corporate Finance Associates,"Corporate Finance Associates, Investment Banking",jds@cfaw.com
Rodman & Renshaw,"Equity Research, Investment Banking, Rodman & Renshaw, Sales and Trading",jds@rodm.com
The Courtney Group,"Investment Banking, Private Equity, The Courtney Group",
Covington Associates,"Covington Associates, Investment Banking",
Craig Hallum,"Craig Hallum, Equity Research, Investment Banking, Sales and Trading",John.smith@craig-hallum.com
Cross Keys Capital,"Cross Keys Capital, Investment Banking",Jsmith@ckcap.com
Davidson Companies,"Davidson Companies, Investment Banking",Jsmith@dadco.com
Dahlman Rose & Co.,"Dahlman Rose & Co., Equity Research, Investment Banking, Sales and Trading",
Davidson Capital Group,"Consulting, Davidson Capital Group, Investment Banking",JDS@davidsoncapital.com
Decision Point International,"Decision Point International, Investment Banking",Jsmith@DecisionPointINT.com
DeSilva & Phillips LLC,"DeSilva & Phillips LLC, Investment Banking",firstname@mediabankers.com
Dinan & Company LLC,"Dinan & Company LLC, Investment Banking",Jsmith@dinancompany.com
Dougherty & Company LLC,"Corporate Finance, Dougherty & Company LLC, Investment Banking, Sales and Trading",
Dresner Partners,"Dresner Partners, Investment Banking",Jsmith@dresnerco.com
"Duncan-Williams, Inc.","Duncan-Williams, Inc., Equity Research, Investment Banking, Sales and Trading",Jsmith@duncanw.com
Eastdil Secured,"Eastdil Secured, Investment Banking, Real Estate",
Energy Spectrum Advisors,"Energy Spectrum Advisors, Investment Banking",john.smith@energyspectrum.com
Falkenberg Capital Corporation,"Falkenberg Capital Corporation, Investment Banking",firstname@fcapital.com
Ferghana Partners,"Ferghana Partners, Investment Banking",lastname@ferghanapartners.com
Financo,"Consulting, Financo, Investment Banking",
First Southwest Company,"Asset Management, Corporate Finance, First Southwest Company, Investment Banking, Sales and Trading",john.smith@firstsw.com
FMI Corporation,"Consulting, FMI Corporation, Investment Banking, Private Equity",jsmith@fminet.com
FocalPoint Partners LLC,"FocalPoint Partners LLC, Investment Banking",Jsmith@focalpointllc.com
Focus Strategies LLC,"Corporate Finance, Focus Strategies LLC, Investment Banking",Jsmith@focus-strategies.com
Morgan Joseph TriArtisan,"Equity Research, Investment Banking, Morgan Joseph TriArtisan, Private Equity, Sales and Trading",
Gemini Partners Inc.,"Corporate Finance, Gemini Partners Inc., Investment Banking",Jsmith@geminipartners.net
Genesis Capital,"Genesis Capital, Investment Banking",Jsmith@genesis-capital.com
Gilford Securities,"Gilford Securities, Investment Banking, Sales and Trading",John.Smith@gilfordsecurities.com
Goldmark Advisers,"Goldmark Advisers, Investment Banking",jds@goldmarkadvisers.com
Grace Matthews,"Corporate Finance, Grace Matthews, Investment Banking, Private Equity",Jsmith@gracematthews.com
Gramercy Venture Advisors,"Gramercy Venture Advisors, Investment Banking",
"Green Manning & Bunch, Ltd.","Green Manning & Bunch, Ltd., Investment Banking",Jsmith@gmbltd.com
Greene Holcomb & Fisher LLC,"Greene Holcomb & Fisher LLC, Investment Banking",Jsmith@ghf.net
Greif & Co.,"Greif & Co., Investment Banking",lastname@greifco.com
Growth Capital Partners,"Corporate Finance, Growth Capital Partners, Investment Banking, Private Equity",Jsmith@growth-capital.com
White Cap Private Equity Management,"Investment Banking, Private Equity, White Cap Private Equity Management",
GrowthPoint Technology Partners,"GrowthPoint Technology Partners, Investment Banking, Venture Capital",Jsmith@gptpartners.com
GTK Partners,"GTK Partners, Investment Banking",lastname@gtkpartners.com
Harvey & Company,"Harvey & Company, Investment Banking",
Headwaters,"Headwaters, Investment Banking",Jsmith@headwatersmb.com
HealthCare Markets Group,"Asset Management, HealthCare Markets Group, Investment Banking",Jsmith@healthcaremarkets.com
Hoefer & Arnett,"Asset Management, Equity Research, Hoefer & Arnett, Investment Banking, Private Equity, Sales and Trading",Jsmith@howebarnes.com
Hovde,"Hovde, Investment Banking",Jsmith@hovde.com
Imperial Capital,"Imperial Capital, Investment Banking, Sales and Trading",Jsmith@imperialcapital.com
Integris Partners,"Integris Partners, Investment Banking",firstname@integris-partners.com
Janney Montgomery Scott,"Investment Banking, Janney Montgomery Scott",Jsmith@janney.com
JD Ford & Company,"Investment Banking, JD Ford & Company",
JH Chapman Group,"Investment Banking, JH Chapman Group",Jsmith@jhchapman.com
JMP Group,"Equity Research, Investment Banking, JMP Group, Sales and Trading",Jsmith@jmpsecurities.com
"Jordan, Knauff & Company","Investment Banking, Jordan, Knauff & Company",Jsmith@jordanknauff.com
Kaufman & Company,"Investment Banking, Kaufman & Company",johnsmith@kcollc.com
Kerlin Capital Group,"Investment Banking, Kerlin Capital Group",Jsmith@kerlincapital.com
Kurt Salmon Associates Capital Advisors,"Consulting, Investment Banking, Kurt Salmon Associates Capital Advisors",john.smith@kurtsalmon.com
Ladenburg Thalmann,"Asset Management, Equity Research, Investment Banking, Ladenburg Thalmann, Sales and Trading",
Laidlaw & Company,"Investment Banking, Laidlaw & Company",Jsmith@laidlawltd.com
Landmark Ventures,"Investment Banking, Landmark Ventures, Venture Capital",
Leerink Partners,"Consulting, Investment Banking, Leerink Swann & Company, Private Equity, Sales and Trading",
Lincoln International,"Investment Banking, Lincoln International",Jsmith@lincolninternational.com
M. R. Beal & Company,"Investment Banking, M. R. Beal & Company, Sales and Trading",Jsmith@mrbeal.com
Matrix Capital Markets Group,"Investment Banking, Matrix Capital Markets Group",Jsmith@matrixcmg.com
Mazzone & Associates,"Investment Banking, Mazzone & Associates",
Mesirow Financial,"Consulting, Investment Banking, Mesirow Financial, Private Equity, Sales and Trading",
MidMarket Capital Advisors,"Corporate Finance, Investment Banking, MidMarket Capital Advisors",Jsmith@mmadvisors.com
Milestone Advisors,"Corporate Finance, Investment Banking, Milestone Advisors",Jsmith@milestonecap.com
Miller Buckfire,"Investment Banking, Miller Buckfire",john.smith@millerbuckfire.com
Needham & Company,"Asset Management, Equity Research, Investment Banking, Needham & Company, Sales and Trading",
Newbury Piret,"Investment Banking, Newbury Piret",Jsmith@newburypiret.com
North Point Advisors,"Investment Banking, North Point Advisors",Jsmith@nptadvisors.com
Pagemill Partners,"Investment Banking, Pagemill Partners",Jsmith@pmib.com
Pharus Advisors,"Investment Banking, Pharus Advisors",Jsmith@pharus.com
Philpott Ball & Werner,"Investment Banking, Philpott Ball & Werner",Jsmith@pbandw.com
Qatalyst Partners,"Investment Banking, Qatalyst Partners",
Reynolds Advisory Partners,"Investment Banking, Reynolds Advisory Partners",Jsmith@reynoldsap.com
Roth Capital Partners,"Equity Research, Investment Banking, Roth Capital Partners, Sales and Trading",Jsmith@roth.com
Sagent Advisors,"Investment Banking, Sagent Advisors",Jsmith@sagentadvisors.com
Salem Partners,"Investment Banking, Salem Partners",Jsmith@salempartners.com
Savvian,"Investment Banking, Savvian",Firstname@gcasavvian.com
Seven Hills Group,"Investment Banking, Seven Hills Group",Jsmith@sevenhills.com
Shoreline Pacific LLC,"Investment Banking, Shoreline Pacific LLC",Jsmith@shorelinepacific.com
Signal Hill Capital Group,"Investment Banking, Signal Hill Capital Group",Jsmith@signalhill.com
"Sperry, Mitchell & Company","Investment Banking, Sperry, Mitchell & Company",Jsmith@sperrymitchell.com
St. Charles Capital,"Investment Banking, St. Charles Capital",Jsmith@stcharlescapital.com
The Riderwood Group Inc.,"Investment Banking, The Riderwood Group Inc.",Jsmith@riderwood.com
ThinkEquity Partners,"Equity Research, Investment Banking, ThinkEquity Partners",Jsmith@thinkequity.com
Trinity Capital,"Investment Banking, Trinity Capital",Jsmith@trinitycapitalllc.com
TripleTree,"Investment Banking, TripleTree",Jsmith@triple-tree.com
Triton Pacific Capital,"Investment Banking, Private Equity, Triton Pacific Capital",Jsmith@tritonpacific.com
Updata Capital,"Investment Banking, Updata Capital, Venture Capital",
Viant Capital,"Investment Banking, Viant Capital",Jsmith@viantgroup.com
Waller Capital Corporation,"Investment Banking, Waller Capital Corporation",
Westlake Securities,"Investment Banking, Westlake Securities",Jsmith@westlakesecurities.com
Windstone Capital Partners,"Investment Banking, Windstone Capital Partners",firstinitialmiddleinitiallastinitial@windstonecapital.com
XRoads Solutions Group,"Consulting, Investment Banking, XRoads Solutions Group",Jsmith@xroads.com
Seattle Northwest Securities,"Asset Management, Investment Banking, Sales and Trading, Seattle Northwest Securities",
Macquarie Group Limited ABN,"Asset Management, Hedge Funds, Investment Banking, Macquarie Group Limited ABN",
Mosaic Capital LLC,"Hedge Funds, Investment Banking, Mosaic Capital LLC",jds@mosaiccapital.com
Guggenheim Partners,"Asset Management, Guggenheim Partners, Hedge Funds, Investment Banking",
Platinum Equity,"Hedge Funds, Investment Banking, Platinum Equity",
Renaissance Capital,"Asset Management, Corporate Finance, Equity Research, Hedge Funds, Investment Banking, Renaissance Capital",jds@rencap.com
Wolverine Capital Partners,"Hedge Funds, Investment Banking, Private Equity, Wolverine Capital Partners",jds@wolverinecapital.com
Dragonswood Advisors,"Dragonswood Advisors, Investment Banking, Private Equity, Recruiting - Headhunter, Other",
Robert W. Baird & Co.,"Asset Management, Equity Research, Investment Banking, Private Equity, Robert W. Baird & Co., Sales and Trading",
Crosstree Capital Partners,"Crosstree Capital Partners, Investment Banking",first.last@crosstreecapital.com
Soci_t_ G_n_rale,"Asset Management, Corporate Finance, Equity Research, Investment Banking, Sales and Trading, Societe Generale",john.smith@sgcib.com
Pentvia Partners,"Investment Banking, Pentvia Partners",JDoe@pentvia.com
Metronome Partners,"Investment Banking, Metronome Partners",JDoe@MetronomePartners.com
CRT Capital Group,"CRT Capital Group, Investment Banking, Sales and Trading",
Prestwick Partners,"Investment Banking, Prestwick Partners",John@prestwickpartners.com
Shields & Company,"Investment Banking, Shields & Company",JSmith@shieldsco.com
Croft & Bender,"Croft & Bender, Investment Banking",JSmith@croft-bender.com
Dickinson Williams & Company,"Dickinson Williams & Company, Investment Banking",JSmith@dickinsonwilliams.com
Legacy Capital,"Investment Banking, Legacy Capital",
TM Capital,"Investment Banking, TM Capital",JSmith@tmcapital.com
FOCUS Bankers,"FOCUS Bankers, Investment Banking",firstname.lastname@focusbankers.com
Black Arch Partners,"Black Arch Partners, Investment Banking",smith@blackarchpartners.com
Brookwood Associates,"Brookwood Associates, Investment Banking",js@brookwoodassociates.com
Heritage Capital Group,"Heritage Capital Group, Investment Banking",
S&P Capital,"Investment Banking, S&P Capital",
J.P. Turner & Company LLC,"Asset Management, Investment Banking, J.P. Turner & Company LLC",
Ewing Bemiss & Co.,"Ewing Bemiss & Co., Investment Banking",J.Smith@ewingbemiss.com
CCG Advisors,"CCG Advisors, Corporate Finance, Investment Banking",FirstintialLastname@ccgadv.com
TSG Partners,"Asset Management, Consulting, Corporate Finance, Investment Banking, TSG Partners",
DNB,"Asset Management, Consulting, Corporate Finance, DNB, Equity Research, Investment Banking, Sales and Trading",john.smith@dnb.no
Strategic Advisors,"Investment Banking, Strategic Advisors",JDSmith@strategicad.com
1stWEST Mergers and Acquisitions,"1stWEST Mergers and Acquisitions, Investment Banking",fi.lastname@1stwest.com
The A List Group,"Investment Banking, The A List Group",john@alistgroup.com
"Aaron, Bell International","Aaron, Bell International, Investment Banking",
Abacus Capital Partners LLC,"Abacus Capital Partners LLC, Corporate Finance, Investment Banking",fiLastname@abacuscp.com
Aberdeen Advisors,"Aberdeen Advisors, Consulting, Investment Banking",
Aberdeen Gould Capital Markets Ltd,"Aberdeen Gould Capital Markets Ltd, Corporate Finance, Investment Banking",
ABI Group,"ABI Group, Consulting, Investment Banking",
"American Business Masters, Inc.","American Business Masters, Inc., Consulting, Investment Banking, Q&A",
"Abraxas Business Services, Inc.","Abraxas Business Services, Inc., Consulting, Investment Banking",
Abstract Business Advisors,"Abstract Business Advisors, Consulting, Investment Banking",firsname@abstractbusinessadvisors.com
Acara Lake Advisors,"Acara Lake Advisors, Investment Banking",mweaver@acaralake.com
Accorp Inc.,"Accorp Inc., Consulting, Investment Banking",firstlast@accorpinc.com
"AccuBrokers, Inc.","AccuBrokers, Inc., Consulting, Investment Banking",
Acquest Advisors,"Acquest Advisors, Consulting, Investment Banking",
Acquest International,"Acquest International, Investment Banking",jsmith@acquestinternational.com
Acquisition Advisors,"Acquisition Advisors, Consulting, Investment Banking",
The Acquisition Search Corporation (TASC),"Consulting, Investment Banking, The Acquisition Search Corporation (TASC)",
Acquisition Services Group,"Acquisition Services Group, Consulting, Investment Banking",
"Acquisitions Northwest, Inc.","Acquisitions Northwest, Inc., Consulting, Investment Banking",
ACT Capital Advisors,"ACT Capital Advisors, Investment Banking",jsmith@actcapitaladvisors.com
"Adler & Company, Inc.","Adler & Company, Inc., Investment Banking",firstname@aldercompany.com
AdMedia Partners,"AdMedia Partners, Consulting, Investment Banking",
Advance Capital,"Advance Capital, Investment Banking, Private Equity",
Aelios Finance,"Aelios Finance, Corporate Finance, Investment Banking",
Cortview Capital Securities,"Corporate Finance, Cortview Capital Securities, Equity Research, Investment Banking, Sales and Trading",jsmith@cortcap.com
Dominion Partners,"Dominion Partners, Investment Banking",John Smith (ie jsmith@dominionpartners.com
Transact AOCP,"Investment Banking, Transact AOCP",jsmith@transactacop.com
Affinity Ventures,"Affinity Ventures, Investment Banking",
Agawam Partners,"Agawam Partners, Investment Banking, Private Equity",
AgriCapital Corporation,"AgriCapital Corporation, Investment Banking",
Agricultural Bank of China,"Agricultural Bank of China, Asset Management, Investment Banking, Private Equity",
Akin Bay,"Akin Bay, Investment Banking",
Al Mal Capital,"Al Mal Capital, Asset Management, Investment Banking",
Alamo Corporate Group,"Alamo Corporate Group, Investment Banking, Private Equity",
"Alderman & Company Consulting, LLC","Alderman & Company Consulting, LLC, Consulting, Investment Banking",
Alderwood Capital,"Alderwood Capital, Investment Banking",
Aldredge & Company,"Aldredge & Company, Investment Banking",
Alerion Capital Group,"Alerion Capital Group, Investment Banking, Private Equity",
Algon Group,"Algon Group, Asset Management, Investment Banking",firstname@algongroup.com
Allegiance Capital Corporation,"Allegiance Capital Corporation, Investment Banking",
Allen C. Ewing & Co,"Allen C. Ewing & Co, Investment Banking",jsmith@allenewing.com
Alliance Equity,"Alliance Equity, Investment Banking",
Allied Business Group,"Allied Business Group, Investment Banking",
Alluence Capital Advisor Inc,"Alluence Capital Advisor Inc, Investment Banking",jsmith@alluence.com
Alpen Capital Group,"Alpen Capital Group, Investment Banking, Private Equity",
Alpina Capital,"Alpina Capital, Investment Banking",JohnSmith@alpinacapital.com
Ambient Capital,"Ambient Capital, Investment Banking, Venture Capital",
"Ambulatory Alliances, LLC","Ambulatory Alliances, LLC, Investment Banking",
Amerge,"Amerge, Consulting, Investment Banking",
American Business Acquisitions,"American Business Acquisitions, Consulting, Investment Banking",
Davenport & Company,"Davenport & Company, Equity Research, Investment Banking, Sales and Trading",
American Fortune,"American Fortune, Consulting, Investment Banking",
Ameridan Resources,"Ameridan Resources, Investment Banking, Private Equity",
Amerimark Capital Corporation,"Amerimark Capital Corporation, Investment Banking",
AmeriTech Advisors,"AmeriTech Advisors, Investment Banking",
Amerivest Group,"Amerivest Group, Consulting, Investment Banking",john@amerivestgroup.com
Amherst Partners,"Amherst Partners, Consulting, Investment Banking",jsmith@amherstpartners.com
Amvest Financial Group,"Amvest Financial Group, Consulting, Investment Banking",
Anchor Business Advisors,"Anchor Business Advisors, Investment Banking",
Anderson Strudwick,"Anderson Strudwick, Asset Management, Investment Banking",
GC Andersen,"GC Andersen, Investment Banking, Private Equity",
The Angermann Group,"Consulting, Investment Banking, The Angermann Group",John.smith@angermann.de
"Angle Advisors, LLC","Angle Advisors, LLC, Investment Banking",jsmith@angleadvisors
Ansley Capital Group,"Ansley Capital Group, Corporate Finance, Investment Banking",
ANV Partners,"ANV Partners, Investment Banking",
Apex Partners,"Apex Partners, Investment Banking",jsmith@apex-partners.com
Aquetong Capital Advisors,"Aquetong Capital Advisors, Investment Banking",
Archers Capital,"Archers Capital, Investment Banking",john@archerscapital.com
Arena Capital Advisors,"Arena Capital Advisors, Investment Banking",jsmith@arenacapllc.com
Arietti & Partners,"Arietti & Partners, Investment Banking, Private Equity",
Aronson Capital Partners,"Aronson Capital Partners, Investment Banking",
Ascend Business Brokers,"Ascend Business Brokers, Investment Banking",
Ascend Capital Group,"Ascend Capital Group, Investment Banking",
Ascend Strategic Partners,"Ascend Strategic Partners, Investment Banking",
ASG Partners,"ASG Partners, Investment Banking",
"Asia Capital Group, Ltd.","Asia Capital Group, Ltd., Corporate Finance, Investment Banking",
Asia Pacific Capital,"Asia Pacific Capital, Consulting, Equity Research, Investment Banking, Private Equity",
Aspen Mergers & Acquisitions,"Aspen Mergers & Acquisitions, Investment Banking",
Atlantic Management Company,"Atlantic Management Company, Consulting, Investment Banking",jd@atlantic-mgmt.com
Atlas Advisors,"Atlas Advisors, Investment Banking",
Atlas Capital Strategies,"Atlas Capital Strategies, Investment Banking",john@atlascapitalstrategies.com
Audon Partners,"Audon Partners, Consulting, Investment Banking",
Avise Partners,"Avise Partners, Investment Banking",
Avista Partners,"Avista Partners, Investment Banking",
Avitas Capital,"Avitas Capital, Investment Banking",jsmith@avitascapital.com
Avondale Partners,"Asset Management, Avondale Partners, Investment Banking, Private Equity",jsmith@avondalepartnersllc.com
Axiom Capital Group,"Axiom Capital Group, Investment Banking",
Metzler Bank,"Asset Management, Investment Banking, Metzler Bank",
B. Riley & Co.,"B. Riley & Co., Equity Research, Hedge Funds, Investment Banking, Sales and Trading",jsmith@brileyco.com
Zachary Scott,"Corporate Finance, Investment Banking, Zachary Scott",jsmith@zacharyscott.com
ZED Financial Partners,"Investment Banking, Private Equity, ZED Financial Partners",johns@zedfinancial.com
Ziegler,"Corporate Finance, Equity Research, Investment Banking, Ziegler",
"Zumwalt, Schorr, Hecht, Lowery & Associates","Investment Banking, Zumwalt, Schorr, Hecht, Lowery & Associates",
Yellowstone Business Acquisitions,"Investment Banking, Yellowstone Business Acquisitions",
The Yale Group,"Investment Banking, The Yale Group",john@gyale.com
Xnergy Financial,"Investment Banking, Xnergy Financial",
W.G. Nielsen & Co.,"Corporate Finance, Investment Banking, W.G. Nielsen & Co.",jsmith@wgnielsen.com
Walden Group,"Investment Banking, Walden Group",
WWC Capital,"Investment Banking, Private Equity, WWC Capital",jsmith@wwccapital.com
Waterford Group,"Investment Banking, Waterford Group",
Watermark Advisors,"Investment Banking, Watermark Advisors",
Waterview Advisors,"Investment Banking, Waterview Advisors",john.smith@waterviewadvisors.com
Wellfleet Capital Partners,"Investment Banking, Wellfleet Capital Partners",jds@wellfleetcapital.com
West Consulting Group,"Consulting, Investment Banking, West Consulting Group",
Westbury Group,"Investment Banking, Westbury Group",
Western Reserve Partners,"Investment Banking, Western Reserve Partners",
